category,big,normal,small,bright,dark,colorful,blurred,spacious,narrow,comfort,hard
사이즈,21%,78%,1%,,,,,,,,
밝기,,86%,,12%,1%,,,,,,
색감,,78%,,,,20%,2%,,,,
발볼,,88%,,,,,,8%,4%,,
착화감,,73%,,,,,,,,26%,1%
