user_id,product_name,size,review_text,review_date,size_tag,brightness_tag,color_tag,ball_of_foot_tag,comfort_tag
LV.5 쌀로만든호빵맨,핸드볼 스페지알 - 핑크 / IF6561,240,"✔️ 2주 이상 착용 후기
핸드볼이 살짝 길들여야하는 신발인지 모르고 예뻐서 샀는데 하루 이틀 잘 신다가 바깥복사뼈가 아파서 보니 쓸려서 양쪽 다 까져버렸다는ㅠㅜ 딱쟁이 생기고 밴드도 붙이고 하면서 몇 번 신어서 길들였더니 지금은 상처도 안생기고 잘 신고 다니는 중입미당! 제 발구조상 그런건지 뭔지 정확히 모르겠지만 참고하세오!

✔️ 색감 & 디자인
색감 말모 핑크 넘나 예쁨요 딸기우유인데 살짝 더 흐린 딸기우유색임니당! 디자인도 소재때문에 살짝 때타보이는 듯 하지만 예뻐유유ㅠ

✔️ 사이즈 & 길이
저는 보통 딱맞게 신으면 240 널널 편하게 신으면 245신고 발볼 그렇게 넓지않은편에 발등도 별로 안높은 편입니당! 다들 반사이즈 다운하라시길래 240샀더니 완전 딱 굿! 앞코 안닿고 발볼도 편하고 아주 좋아용 사이즈 선택 성공이에옹

✔️ 두께
스웨이드 소재라 솔직히 한여름되면 조금 신기 어려울 것 같긴한데 엄청 두꺼운건 또 아니라서 + 예쁘니까 한동안 계속 신고 다닐 듯용

✔️ 금액
아디다스

✔️ 배송 & 포장
배송 와따 빠르고요 포장은 박스안 박스로 왔는데 아디다스 상자가 좀 상처나서 와서 내 맴에도 좀 상처…",2024.06.05,보통이에요,보통이에요,흐려요,보통이에요,적당해요
LV.3 우주팡퐝,핸드볼 스페지알 - 핑크 / IF6561,230,사진보다 실물이 존예입니다! 딱 지금 신기 좋아요 꼭 사세요!,2024.06.05,보통이에요,보통이에요,선명해요,넓어요,편안해요
LV.5 뚱땅이이,핸드볼 스페지알 - 핑크 / IF6561,220,요즘 저의 최애 신발입니다! 어느옷에 입어도 이뻐요,2024.06.04,보통이에요,보통이에요,보통이에요,보통이에요,편안해요
LV.3 경쾌한시카고코지,핸드볼 스페지알 - 핑크 / IF6561,220,생각했던 디자인과 색깔이고 너무 편안합니다~~~ 강추에요,2024.06.04,커요,보통이에요,보통이에요,보통이에요,편안해요
LV.3 근사한카프리슬림,핸드볼 스페지알 - 핑크 / IF6561,230,아주 커엽~습니다!! 근데 진심 좀 커서… 사이즈는 반다운… 해야할 것 같애욤!!,2024.06.04,커요,보통이에요,흐려요,보통이에요,적당해요
LV.6 쯔완,핸드볼 스페지알 - 핑크 / IF6561,240,"색감이 너무 예뻐요. 너무 흐리지도 않고 약간 청량한 느낌 있으면서 너무 쨍하디지도 않고, 네이비랑 배색 때문에 살짝 빈티디한 느낌까지 최고예요. 사이즈 엄청 고민했는데 저는 엄청 칼발이고 삼바 오리지널 240꽉 맞게 신는데 이거 240 널널하게 맞아요.",2024.06.04,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.6 abcdefg15,핸드볼 스페지알 - 핑크 / IF6561,255,색상이 딸기우유 핑크라서 이쁘고 사이즈도 편하네요,2024.06.04,보통이에요,보통이에요,선명해요,보통이에요,적당해요
LV.8 밍키별이,핸드볼 스페지알 - 핑크 / IF6561,235,예쁘고 마음에 들어요 하나씩 구매하세요 ㅎㅎ 만족해요,2024.06.03,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.6 갑두리,핸드볼 스페지알 - 핑크 / IF6561,240,어떤 바지에 매치해도 어울립니다. 신발이 이뻐요.,2024.06.03,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.7 메시별이,핸드볼 스페지알 - 핑크 / IF6561,235,예쁘고 맘에들어요 선물용 좋네욯ㅎ 하나씩 구매해보세용,2024.06.03,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.3 유히민,핸드볼 스페지알 - 핑크 / IF6561,235,사이즈 240정도 신으시면 235 딱 맞고 좋아요,2024.06.02,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 오옼코코더어,핸드볼 스페지알 - 핑크 / IF6561,265,핑크색 남자가 신어듀 스페지알 다른 컬러들보다 훨씬 힙한거 같아요,2024.06.02,보통이에요,어두워요,흐려요,보통이에요,적당해요
LV.5 엠와씨,핸드볼 스페지알 - 핑크 / IF6561,230,"여름에 신기는 살짝 더운데
포인트로 신기 좋아요
핑크핑크 너무 이뻐용~~",2024.06.02,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 Sjhdhd,핸드볼 스페지알 - 핑크 / IF6561,225,쨍하지 않은 핑크라서 더 이쁘네요. 확실히 좀 길이감이 있는 편이라 반 다운하셔도 될 거 같습니다.,2024.06.02,보통이에요,보통이에요,선명해요,보통이에요,적당해요
LV.4 봄새찡,핸드볼 스페지알 - 핑크 / IF6561,240,밝은 옷에도 잘어울리고 어두운옷에도 잘어울리고 이뻐요:),2024.06.02,보통이에요,보통이에요,보통이에요,보통이에요,편안해요
LV.4 jhye924,핸드볼 스페지알 - 핑크 / IF6561,220,재고들어와서 바로 샀어요~ 핑크는 못참지 색감이 따듯하고 예쁜 핑크에요 겨울에도 잘 신을거같아요,2024.06.01,보통이에요,보통이에요,보통이에요,보통이에요,편안해요
LV.4 능숙한쿠바맨투맨,핸드볼 스페지알 - 핑크 / IF6561,230,"평소 235-240신고 발볼, 발등 다 높은 스타일입니다! 크게 나왔다고 해서 230주문했는데도 널널하네요?
지금 사긴 좀 늦었는게 아닌가 싶은 감도 없지않지만 포인트 되고 생각보다 튀지않고 이뻐요
그리고 발바닥 아치형으로 들어간 부분에 패드가 볼록하게 올라와있어서 착화감이 좋네오",2024.06.01,커요,보통이에요,선명해요,보통이에요,편안해요
LV.3 dodoni,핸드볼 스페지알 - 핑크 / IF6561,230,너무 진하지 않은 핑크라 더 예쁜거같아요!! 요즘 날씨에도 좋아요,2024.05.31,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.3 여유있는청록백팩,핸드볼 스페지알 - 핑크 / IF6561,230,너무 너무 좋아해서 다음에 도 올 게 아니라 매일 신발은 신습니다.,2024.05.31,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.7 미니미하다,핸드볼 스페지알 - 핑크 / IF6561,265,포인트용으로 다른 아이다스 핑크색 신발들도 구매해봤는데 다 너무 어려 보여서 전 이 신발이 가장 마음에 드네요.,2024.05.30,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.7 0-0-,핸드볼 스페지알 - 핑크 / IF6561,240,적립금 사용으로 저렴한 가격으로 좋은 상품 구매했습니다. 만족합니다.,2024.05.30,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 miniz_z,핸드볼 스페지알 - 핑크 / IF6561,270,"매장에서 색감 보고 바로 주문했습니다.
너무 예뻐서 기절",2024.05.29,보통이에요,밝아요,선명해요,보통이에요,편안해요
LV.6 패션을끄적끄적,핸드볼 스페지알 - 핑크 / IF6561,240,"평소 다른 신발들 245 신는데,
이거 240으로 잘 맞고 매우 편하고 이쁘고 두번세번 깔별로 사고싶네용키크키키",2024.05.29,커요,보통이에요,선명해요,보통이에요,편안해요
LV.4 손이경,핸드볼 스페지알 - 핑크 / IF6561,250,색감이 다했습니다...스웨이드에 약간 톤다운된 핑크라 빈티지 느낌도 나고 색이 쨍하지 않아서 데일리로 신기에도 부담이 적어요. 발 아치 부분에 알 수 없는 쿠션(?)이 있어서 발도 편해요 굿!,2024.05.29,커요,보통이에요,선명해요,보통이에요,편안해요
LV.5 instaxx,핸드볼 스페지알 - 핑크 / IF6561,235,"진짜 너무 이뻐요
240-245까지 신는 편인데 후기 참고해서 235로 시켰고 널널해요
삼바도 있는데 삼바 보다 스페지알이 편하네요
강추합니데이",2024.05.28,커요,보통이에요,선명해요,넓어요,편안해요
LV.5 JeongGyong,핸드볼 스페지알 - 핑크 / IF6561,250,사진과 동일합니다. 핑크색이 은은하니 과하지않고 잘 신고다닐것 같아요.,2024.05.28,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.3 얘림님,핸드볼 스페지알 - 핑크 / IF6561,225,분명 225를 시켰는데 신발만 보면 240정도로 보여요 사이즈 무조건 낮춰서 사는 게 나을듯. 전체적으로는 예쁘고 생각보다 편합니다!,2024.05.27,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 노라해,핸드볼 스페지알 - 핑크 / IF6561,235,배송이 진짜 빨라서 맘에 들었어요! 일요일날 시켰는데 바로 담날 왔어용! 색도 너무 안 튀어서 적당하게 신늘 수 있을 것 같아요!,2024.05.27,보통이에요,보통이에요,흐려요,좁아요,적당해요
LV.5 햄갱갱,핸드볼 스페지알 - 핑크 / IF6561,235,"색 넘넘 이쁘다 포인트로 잘 활용할듯! 사이즈 마니
크니까 발 길어보이기 싫은 분들은 2단계 줄여두 댐 아지짜로 2단계 줄여두 댐",2024.05.27,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
